county,pov,moe
Clarke,28.090236277447843,12.3
Osceola,24.38835212991896,10.2
Crawford,21.438884356323832,7.9
Audubon,20.880674773458306,9.4
Cherokee,20.244329965641622,8.3
Franklin,20.091848765903453,7.9
Lucas,20.01074517194687,7.8
Montgomery,19.96116245030453,7.8
Appanoose,19.849998027937087,7.6
Emmet,19.817966376107236,7.6
Humboldt,19.801236553946815,7.7
Wayne,19.412493165901843,7.1
Cass,19.268090551659515,6.599999999999999
Wright,18.45222591177198,5.500000000000001
Wapello,18.438804396829106,5.3
Palo Alto,18.37296762390989,8.1
Clay,18.21037887022035,5.2
Tama,17.81721672067286,4.4
Decatur,17.779171978610307,6.999999999999999
Lee,17.725473140654085,4.4
Des Moines,17.7079615836167,4.300000000000001
Davis,17.599647124570364,9
Ringgold,17.089111508467752,7.199999999999999
Page,17.05554360332859,5.9
Jefferson,17.030208496568108,7.7
Butler,16.705405837335242,5.1
Monona,16.679030170325763,5.800000000000001
Monroe,16.326013024475756,7.3
O'Brien,16.31266562149497,5.800000000000001
Floyd,16.253898443921216,5.500000000000001
Clayton,16.136840975391017,5.1
Henry,16.135807399574077,4.4
Muscatine,16.083106227398723,4.2
Clinton,16.003317797148924,3.7000000000000006
Van Buren,15.984849122015287,5.9
Jones,15.98007204967195,5.4
Woodbury,15.956687368258251,2.7999999999999994
Webster,15.771827423864965,3.9
Black Hawk,15.770831139226491,2.7999999999999994
Union,15.749840753788794,5.2
Guthrie,15.71204821716261,4.2
Greene,15.696200960008733,5.500000000000001
Allamakee,15.59638602977412,4.300000000000001
Marshall,15.52125846602259,4
Kossuth,15.217985215444585,4.1000000000000005
Pottawattamie,15.148923260979034,3.0999999999999996
Iowa,14.934364454098347,5.1
Louisa,14.787295804318216,4.4
Mahaska,14.781220226813035,4.300000000000001
Adair,14.696225870940097,5.4
Keokuk,14.620526027553158,4
Sac,14.583031093140155,4.5
Winneshiek,14.57677605932185,5
Jackson,14.57448993555232,4.300000000000001
Fayette,14.328104444264264,3.9
Worth,14.249822872917154,5.1
Howard,14.149335269216548,5.2
Scott,13.898932182813613,1.9
Hardin,13.630985070428975,3.9
Cerro Gordo,13.603517683004762,3.5999999999999996
Ida,13.460885750866241,4.2
Hancock,13.43462145262475,4.5
Cedar,13.096162892012492,3.5999999999999996
Hamilton,12.537462389255499,3.5999999999999996
Madison,12.451531942750702,4.2
Polk,12.434917515222402,1.3999999999999997
Buchanan,12.338965302298062,3.2
Johnson,12.28867156738908,2.4
Dubuque,12.274068102913047,2.7
Pocahontas,12.13055896649015,4.1000000000000005
Washington,12.114558474758198,3.7000000000000006
Calhoun,12.045178150703816,3.4000000000000004
Harrison,11.954654608758043,3.2
Jasper,11.762705549284673,2.9000000000000004
Linn,11.674215349708195,1.6
Marion,11.345562611089232,3.0999999999999996
Winnebago,11.149336283021281,3.4000000000000004
Story,11.118103680360491,2.5
Grundy,10.95481924252664,2.9000000000000004
Fremont,10.865832674014985,3.7000000000000006
Poweshiek,10.844055807729369,3.4999999999999996
Boone,10.762846327953884,2.7999999999999994
Bremer,10.61470448725077,2.9000000000000004
Mills,10.330220460745531,3.2
Benton,9.824014582615643,1.9
Dickinson,9.61547269542787,2.7999999999999994
Taylor,9.582427248308392,3
Warren,9.48019938827749,2.1
Buena Vista,9.35231664106082,2.1
Plymouth,9.28779511704105,3.0999999999999996
Sioux,9.180024726748263,2.6
Adams,8.987521810604019,4.300000000000001
Shelby,8.667265342386733,2.7
Dallas,8.46750981488951,1.7999999999999998
Carroll,8.188230902653816,2.1
Delaware,7.775585397794471,2.4
Chickasaw,7.395557358398499,2.3
Mitchell,6.964965669821109,2.4
Lyon,6.054121690860901,1.6
