state_file,county,pov,pr_exceed,moe
AKData1,Bethel Census Area,19.21691699327711,0.9896187649655195,3
AKData1,Kusilvak Census Area,19.21691699327711,0.9088989683824373,5.2
AKData1,Yukon-Koyukuk Census Area,19.21691699327711,0.9005335768765457,5.4
AKData2,Bethel Census Area,20.716916993277103,0.999140073531003,3
AKData2,Kusilvak Census Area,22.21691699327711,0.9887861096962808,5.2
AKData2,Yukon-Koyukuk Census Area,19.36691699327711,0.9082890094440554,5.4
AKData3,Bethel Census Area,23.21691699327711,0.9999966908647899,3
AKData3,Kusilvak Census Area,27.216916993277103,0.9999444041068594,5.2
AKData3,Yukon-Koyukuk Census Area,19.61691699327711,0.9202046865559482,5.4
AKData4,Bethel Census Area,24.716916993277103,0.9999999503798503,3
AKData4,Kusilvak Census Area,30.21691699327711,0.9999992596137111,5.2
AKData4,Yukon-Koyukuk Census Area,19.76691699327711,0.926769237087144,5.4
ALData1,Sumter,25.29357487245515,0.9671552037314961,9.2
ALData1,Wilcox,25.29357487245515,0.9260878055738379,11.7
ALData1,Perry,25.29357487245515,0.9002185335371405,13.199999999999998
ALData2,Sumter,26.79357487245515,0.9825165913151358,9.2
ALData2,Perry,28.293574872455153,0.9512060258441624,13.199999999999998
ALData2,Wilcox,25.443574872455148,0.9289952457957384,11.7
ALData3,Sumter,29.293574872455142,0.9947020899615548,9.2
ALData3,Perry,33.29357487245515,0.9886892584901993,13.199999999999998
ALData3,Wilcox,25.693574872455148,0.93364470861859294,11.7
ALData4,Sumter,30.79357487245515,0.9976282837105582,9.2
ALData4,Perry,36.293574872455146,0.9960184585996954,13.199999999999998
ALData4,Wilcox,25.84357487245515,0.9363190651903156,11.7
ARData1,Phillips,23.501739856800093,0.9901205166195555,6
ARData1,Nevada,23.501739856800093,0.9002646015104976,10.900000000000002
ARData1,Lee,23.501739856800093,0.9002646015104976,10.900000000000002
ARData2,Phillips,25.001739856800093,0.9969480182155933,6
ARData2,Nevada,26.50173985680009,0.9587015505919004,10.900000000000002
ARData2,Lee,23.65173985680009,0.904172421108976,10.900000000000002
ARData3,Phillips,27.50173985680009,0.9996954845354338,6
ARData3,Nevada,31.501739856800093,0.9936200335096892,10.900000000000002
ARData3,Lee,23.90173985680009,0.91043324074398,10.900000000000002
ARData4,Phillips,29.00173985680009,0.9999381840608103,6
ARData4,Nevada,34.50173985680009,0.9983755582360341,10.900000000000002
ARData4,Lee,24.05173985680009,0.9140407700144292,10.900000000000002
AZData1,Navajo,19.139011123031235,0.9941610488947612,2.7
AZData1,Apache,19.139011123031235,0.9833194491724232,3.2
AZData1,Gila,19.139011123031235,0.9005436243238695,5.3
AZData2,Apache,22.139011123031235,0.9998786763195292,3.2
AZData2,Navajo,20.63901112303124,0.9997043999288486,2.7
AZData2,Gila,19.289011123031237,0.9084403586057678,5.3
AZData3,Apache,27.13901112303124,0.9999999997815087,3.2
AZData3,Navajo,23.139011123031235,0.9999996452916747,2.7
AZData3,Gila,19.539011123031237,0.9205537715257788,5.3
