sequence
introduction;consent;threshold-pixel-sorted-intro;threshold-pixel-sorted-trial;tpxs_MW_SD_2;tpxs_WE_CO_4;tpxs_MW_IN_3;tpxs_SO_FL_1;tpxs_WE_CA_3;tpxs_NE_RI_3;tpxs_NE_CT_1;tpxs_WE_MT_1;tpxs_WE_HI_4;tpxs_SO_LA_4;tpxs_WE_NM_2;tpxs_SO_VA_2;tpxs_MW_MO_1;tpxs_NE_PA_2;tpxs_NE_NY_4;tpxs_MW_IA_4;tpxs_SO_TN_3;threshold-pixel-sorted-survey;threshold-pixel-sorted-survey-uncertainty;payout;end
introduction;consent;exceed-intro;exceed-trial;exc_WE_UT_2;exc_SO_AR_2;exc_NE_PA_1;exc_MW_MN_2;exc_WE_HI_4;exc_WE_OR_3;exc_MW_OH_3;exc_SO_TX_3;exc_MW_ND_4;exc_SO_TN_4;exc_NE_NH_4;exc_WE_WA_4;exc_NE_ME_3;exc_MW_MI_1;exc_NE_VT_2;exc_SO_AL_1;exc_WE_NM_1;exceed-survey;exceed-survey-uncertainty;payout;end
introduction;consent;pixel-intro;pixel-trial;pix_WE_NV_4;pix_MW_MI_4;pix_WE_HI_4;pix_MW_OH_2;pix_NE_RI_1;pix_SO_OK_1;pix_NE_CT_2;pix_SO_FL_3;pix_WE_CO_3;pix_MW_MO_3;pix_NE_MA_4;pix_MW_KS_1;pix_NE_VT_3;pix_WE_AZ_2;pix_SO_AL_2;pix_WE_WY_1;pix_SO_VA_4;pixel-survey;pixel-survey-uncertainty;payout;end
introduction;consent;threshold-pixel-sorted-intro;threshold-pixel-sorted-trial;tpxs_WE_WY_1;tpxs_MW_IA_3;tpxs_SO_KY_2;tpxs_SO_WV_4;tpxs_WE_HI_4;tpxs_SO_AR_1;tpxs_NE_CT_3;tpxs_MW_MN_1;tpxs_MW_KS_4;tpxs_WE_CO_3;tpxs_NE_MA_1;tpxs_WE_AZ_2;tpxs_WE_NV_4;tpxs_SO_VA_3;tpxs_MW_IL_2;tpxs_NE_ME_4;tpxs_NE_NH_2;threshold-pixel-sorted-survey;threshold-pixel-sorted-survey-uncertainty;payout;end
introduction;consent;exceed-intro;exceed-trial;exc_MW_IL_2;exc_SO_GA_2;exc_MW_MN_1;exc_MW_IA_3;exc_WE_WA_1;exc_WE_HI_4;exc_WE_CA_4;exc_WE_AZ_3;exc_NE_NY_3;exc_NE_NJ_4;exc_MW_KS_4;exc_NE_VT_1;exc_WE_WY_2;exc_SO_MS_4;exc_NE_ME_2;exc_SO_MD_3;exc_SO_TX_1;exceed-survey;exceed-survey-uncertainty;payout;end
introduction;consent;pixel-intro;pixel-trial;pix_NE_RI_2;pix_NE_NY_1;pix_NE_VT_4;pix_SO_AR_1;pix_WE_HI_4;pix_SO_KY_2;pix_NE_NH_3;pix_SO_WV_4;pix_WE_CA_1;pix_MW_OH_3;pix_MW_MN_2;pix_MW_ND_4;pix_MW_MI_1;pix_WE_OR_2;pix_WE_MT_3;pix_WE_ID_4;pix_SO_VA_3;pixel-survey;pixel-survey-uncertainty;payout;end
introduction;consent;animated-pixel-intro;animated-pixel-trial;anim_MW_MI_1;anim_MW_ND_4;anim_NE_NJ_3;anim_WE_CA_3;anim_MW_OH_3;anim_WE_MT_1;anim_WE_NM_2;anim_WE_HI_4;anim_SO_NC_1;anim_SO_GA_3;anim_NE_ME_1;anim_MW_MN_2;anim_NE_MA_2;anim_SO_AL_4;anim_SO_LA_2;anim_WE_CO_4;anim_NE_RI_4;animated-pixel-survey;animated-pixel-survey-uncertainty;payout;end
introduction;consent;sorted-pixel-intro;sorted-pixel-trial;spix_NE_MA_1;spix_SO_MD_2;spix_NE_ME_4;spix_MW_IA_3;spix_MW_KS_4;spix_SO_KY_4;spix_NE_NH_2;spix_MW_MN_1;spix_MW_IL_2;spix_SO_MS_1;spix_SO_AL_3;spix_WE_WA_2;spix_WE_NM_4;spix_WE_ID_3;spix_NE_CT_3;spix_WE_HI_4;spix_WE_AZ_1;sorted-pixel-survey;sorted-pixel-survey-uncertainty;payout;end
introduction;consent;sorted-pixel-intro;sorted-pixel-trial;spix_NE_PA_1;spix_SO_VA_3;spix_NE_VT_2;spix_WE_OR_2;spix_NE_NH_4;spix_WE_MT_3;spix_SO_KY_2;spix_SO_AR_1;spix_WE_CA_1;spix_MW_IN_3;spix_MW_MO_1;spix_WE_HI_4;spix_MW_IA_4;spix_MW_SD_2;spix_WE_ID_4;spix_SO_WV_4;spix_NE_ME_3;sorted-pixel-survey;sorted-pixel-survey-uncertainty;payout;end
introduction;consent;svsup-intro;svsup-trial;svs_SO_SC_3;svs_SO_GA_4;svs_NE_ME_1;svs_NE_NJ_3;svs_WE_WA_2;svs_WE_NM_4;svs_WE_ID_3;svs_WE_HI_4;svs_SO_FL_2;svs_MW_WI_1;svs_MW_IL_3;svs_MW_MO_2;svs_WE_AZ_1;svs_MW_SD_4;svs_NE_RI_4;svs_SO_TN_1;svs_NE_MA_2;svsup-survey;svsup-survey-uncertainty;payout;end
introduction;consent;threshold-pixel-intro;threshold-pixel-trial;tpix_NE_PA_1;tpix_MW_IN_4;tpix_WE_HI_4;tpix_NE_VT_2;tpix_SO_MS_4;tpix_SO_MD_3;tpix_WE_AZ_1;tpix_MW_IA_2;tpix_SO_TX_1;tpix_NE_ME_3;tpix_MW_ND_1;tpix_WE_NM_4;tpix_WE_ID_3;tpix_MW_NE_3;tpix_WE_WA_2;tpix_NE_NH_4;tpix_SO_GA_2;threshold-pixel-survey;threshold-pixel-survey-uncertainty;payout;end
introduction;consent;animated-pixel-intro;animated-pixel-trial;anim_SO_NC_2;anim_WE_WA_3;anim_NE_PA_4;anim_MW_ND_2;anim_MW_NE_1;anim_WE_UT_4;anim_NE_NJ_1;anim_WE_CO_1;anim_WE_HI_4;anim_SO_SC_4;anim_NE_NY_2;anim_WE_ID_2;anim_NE_MA_3;anim_SO_KY_3;anim_MW_MO_4;anim_SO_VA_1;anim_MW_MN_3;animated-pixel-survey;animated-pixel-survey-uncertainty;payout;end
introduction;consent;hop-intro;hop-trial;hom_MW_OH_1;hom_WE_WA_3;hom_NE_CT_4;hom_SO_SC_1;hom_WE_HI_4;hom_WE_UT_4;hom_WE_ID_2;hom_NE_PA_3;hom_MW_IL_4;hom_WE_CO_1;hom_SO_OK_3;hom_MW_WI_2;hom_SO_TX_4;hom_NE_NH_1;hom_NE_NJ_2;hom_SO_MS_2;hom_MW_ND_3;hop-survey;hop-survey-uncertainty;payout;end
