fips,county,pov,moe
24039,Somerset,23.481284001054707,7.7
24019,Dorchester,20.422081920055753,6.5
24011,Caroline,17.64059124982456,4.4
24510,Baltimore,16.7957871305374,1.9
24001,Allegany,16.77026529209084,3.0999999999999996
24023,Garrett,16.310597547118803,3.9
24045,Wicomico,16.173469459565982,3.4000000000000004
24041,Talbot,16.083335587562818,4.4
24029,Kent,15.966224653313995,4.7
24043,Washington,15.804813337393666,2.4
24015,Cecil,15.622741089099357,3.2
24047,Worcester,15.057254649321255,3.0999999999999996
24005,Baltimore,13.830993859041381,1.1
24035,Queen Anne's,13.409750032599261,2.4
24033,Prince George's,13.36578359799204,1.1
24037,St. Mary's,13.09250065322066,2.4
24025,Harford,13.026248070225666,1.6
24031,Montgomery,12.088149129717628,0.8
24003,Anne Arundel,11.481952029859135,1
24021,Frederick,11.294768545396607,1.2
24017,Charles,11.2583315620688,1.7000000000000002
24027,Howard,10.51286874924226,1.3
24013,Carroll,9.735893237517848,1
24009,Calvert,8.774314616180417,1.6
